dataset,binarization,secret_bits,rep_factor,pair_type,enroll_subject,query_subject,enroll_sample,query_sample,hamming_distance,hamming_ratio_pct,errors_corrected,hash_matched,auth_status
Fingerprint_dataset_60,Median,64,32,imposter,1,33,1,1,498,24.32,498,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,34,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,35,1,1,710,34.67,706,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,36,1,1,564,27.54,564,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,37,1,1,610,29.79,610,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,38,1,1,516,25.2,516,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,39,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,40,1,1,504,24.61,504,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,41,1,1,534,26.07,534,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,42,1,1,570,27.83,570,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,43,1,1,464,22.66,464,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,44,1,1,546,26.66,546,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,45,1,1,608,29.69,606,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,46,1,1,568,27.73,568,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,47,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,48,1,1,580,28.32,580,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,49,1,1,528,25.78,528,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,50,1,1,576,28.12,572,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,51,1,1,576,28.12,576,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,52,1,1,508,24.8,508,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,53,1,1,530,25.88,530,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,54,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,55,1,1,600,29.3,600,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,56,1,1,650,31.74,650,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,57,1,1,534,26.07,534,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,58,1,1,490,23.93,490,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,59,1,1,536,26.17,536,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,60,1,1,608,29.69,608,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,1,1,1,636,31.05,632,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,3,1,1,524,25.59,524,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,4,1,1,620,30.27,618,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,5,1,1,568,27.73,566,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,6,1,1,696,33.98,696,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,7,1,1,606,29.59,602,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,8,1,1,658,32.13,652,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,9,1,1,564,27.54,564,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,10,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,11,1,1,614,29.98,610,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,12,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,13,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,14,1,1,608,29.69,604,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,15,1,1,614,29.98,614,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,16,1,1,576,28.12,576,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,17,1,1,640,31.25,638,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,18,1,1,670,32.71,666,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,19,1,1,600,29.3,600,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,20,1,1,620,30.27,620,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,21,1,1,648,31.64,648,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,22,1,1,626,30.57,626,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,23,1,1,596,29.1,596,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,24,1,1,590,28.81,588,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,25,1,1,572,27.93,572,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,26,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,27,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,28,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,29,1,1,646,31.54,646,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,30,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,31,1,1,610,29.79,610,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,32,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,33,1,1,640,31.25,640,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,34,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,35,1,1,604,29.49,604,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,36,1,1,626,30.57,626,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,37,1,1,676,33.01,672,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,38,1,1,600,29.3,596,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,39,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,40,1,1,628,30.66,622,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,41,1,1,630,30.76,630,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,42,1,1,576,28.12,576,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,43,1,1,626,30.57,624,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,44,1,1,616,30.08,614,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,45,1,1,554,27.05,554,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,46,1,1,666,32.52,666,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,47,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,48,1,1,558,27.25,556,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,49,1,1,648,31.64,638,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,50,1,1,634,30.96,630,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,51,1,1,660,32.23,660,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,52,1,1,620,30.27,612,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,53,1,1,538,26.27,538,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,54,1,1,1024,50.0,878,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,55,1,1,604,29.49,604,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,56,1,1,636,31.05,636,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,57,1,1,600,29.3,596,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,58,1,1,640,31.25,640,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,2,59,1,1,684,33.4,680,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,2,60,1,1,592,28.91,592,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,1,1,1,586,28.61,586,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,2,1,1,524,25.59,524,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,4,1,1,600,29.3,600,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,5,1,1,586,28.61,584,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,6,1,1,670,32.71,664,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,7,1,1,568,27.73,566,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,8,1,1,662,32.32,662,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,9,1,1,562,27.44,562,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,10,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,11,1,1,612,29.88,612,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,12,1,1,1024,50.0,882,False,REJECT
